,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_s,FWBR_N,FWBR_L,layer
0,com.itextpdf.text.ExceptionConverter,10,4,0,0,21,3,70,10,0.7038973693795252,0.8617517507627728,0.7149526154872053,1.3392289363764085,0.0
1,com.itextpdf.text.pdf.qrcode.Version,13,1,0,5,27,46,2,8,-7.63913223746511,-5.040542779725907,-8.438175731695429,-5.80737033603168,2.0
2,com.itextpdf.text.pdf.LtvVerification$1,0,1,0,0,0,0,2,0,0.7540801391382728,0.9368053465063093,1.1875633328944055,0.43077392379515705,6.0
3,com.itextpdf.text.pdf.codec.wmf.MetaObject,3,1,3,0,4,0,5,3,-0.43122065096921336,0.19031380268194087,0.2020174351924956,-0.2474038604121479,0.0
4,com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1,-1.5936685439397444,-0.7268606301869522,-1.4321507944656537,-1.416926349010577,2.0
5,com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy,10,1,0,6,33,31,2,6,-7.88215835116266,-5.515008769228799,-8.977768799973337,-5.818277880918601,10.0
6,com.itextpdf.text.pdf.fonts.FontsResourceAnchor,1,1,0,0,2,0,2,1,0.6001384041726006,0.4741276464394977,0.5893628394357852,0.7847825539378535,0.0
7,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1,-7.236694156555887,-4.871487773037841,-7.819483962251907,-5.992528857060197,9.0
8,com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0,0.6001384041726006,0.4741276464394977,0.5893628394357852,0.7847825539378535,4.0
9,com.itextpdf.text.TextElementArray,1,1,0,1,1,0,5,1,-2.1914983684337828,-1.0966522742038831,-1.9813794314603237,-2.109317179617516,4.0
10,com.itextpdf.text.pdf.CMapAwareDocumentFont,10,3,0,20,49,23,5,5,-11.105402930987433,-7.514656404784077,-12.186391344081157,-8.833760796329525,5.0
11,com.itextpdf.text.pdf.internal.PdfXConformanceImp,11,1,0,22,40,0,2,11,-11.803932331946688,-8.534665500271085,-13.163151281963126,-9.643854555908963,4.0
12,com.itextpdf.text.pdf.IntHashtable$Entry,4,1,0,0,5,0,3,2,0.10321440364588741,0.19614727140857535,0.0709087371376953,0.42820182891582936,4.0
13,com.itextpdf.text.pdf.PdfEncodings$SymbolConversion,5,1,0,2,11,2,1,3,-4.147668978311056,-2.8948264020829275,-4.716843839720589,-3.0198249727807553,4.0
14,com.itextpdf.text.pdf.ShadingColor,4,3,0,2,6,0,2,4,-3.2593651570057993,-1.7068720231125345,-3.1018910595383,-2.8626056736428183,4.0
15,com.itextpdf.text.pdf.qrcode.ByteMatrix,9,1,0,0,14,0,6,9,-0.12119864030217098,-0.18639900765803996,-0.46188804708558706,0.5841781626934157,0.0
16,com.itextpdf.text.pdf.qrcode.BitArray,12,1,0,0,18,0,1,11,-0.24882827914744943,-0.2826590930533954,-0.6239407343566665,0.5232626135467218,0.0
17,com.itextpdf.text.html.simpleparser.ImageStore,1,3,0,0,2,0,1,1,1.3542185433108733,1.4109329929458068,1.7769261723301906,1.2155564777330103,5.0
18,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState,3,1,0,5,8,3,2,1,-6.6051831619409604,-4.534293278000729,-7.25767506295642,-5.31891311614017,9.0
19,com.itextpdf.text.pdf.codec.TiffImage,10,1,0,18,75,45,1,6,-11.42992314858699,-8.394536191611131,-13.238769136639814,-8.509421435349404,4.0
