,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_s,FWBR_N,FWBR_L,layer
0,com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1,-1.5936685439397444,-0.7268606301869522,-1.4321507944656537,-1.416926349010577,2.0
1,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1,-7.236694156555887,-4.871487773037841,-7.819483962251907,-5.992528857060197,9.0
2,com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0,0.6001384041726006,0.4741276464394977,0.5893628394357852,0.7847825539378535,4.0
3,com.itextpdf.text.pdf.internal.PdfXConformanceImp,8,1,0,21,32,0,1,8,-11.47872228274956,-8.335472288094694,-12.826385451903358,-9.373938100268887,4.0
4,com.itextpdf.text.xml.xmp.XmpReader,6,1,0,2,41,0,1,6,-3.6017487678762032,-3.421375856616649,-5.031282133439441,-1.75462828369941,1.0
5,com.itextpdf.text.pdf.BarcodePostnet,6,2,0,4,22,1,0,5,-5.4553473320020895,-3.910003611695751,-6.23611600129601,-4.022492736690619,6.0
6,com.itextpdf.text.pdf.security.CRLVerifier,6,3,0,7,44,1,1,5,-6.669616641781209,-5.002113856492488,-7.82577363270858,-4.77848420416045,5.0
7,com.itextpdf.text.exceptions.UnsupportedPdfException,1,5,0,1,2,0,3,1,-0.839588404801472,0.20994471631935685,-0.24458746157124836,-0.9861524252154199,1.0
8,com.itextpdf.text.html.simpleparser.ImageProvider,1,1,0,3,1,0,2,1,-4.82641392048061,-2.845636549011614,-4.697573082336425,-4.563012674274626,8.0
9,com.itextpdf.text.pdf.collection.PdfTargetDictionary,8,3,0,5,12,28,1,8,-6.7291389370824675,-3.770782814032291,-6.7660121400339195,-5.634936804082904,4.0
10,com.itextpdf.text.pdf.PdfFileSpecification,14,3,0,13,46,79,8,14,-10.055511629167086,-6.476784801618828,-10.864297319513538,-7.941057646288473,4.0
11,com.itextpdf.text.pdf.interfaces.PdfVersion,4,1,0,2,4,6,2,4,-4.4806933658633925,-2.5304448171530516,-4.488199694087871,-3.8202595403119717,4.0
12,com.itextpdf.text.pdf.collection.PdfCollection,5,3,0,6,9,10,4,5,-6.910105250583738,-4.0389698857859955,-6.997425932009746,-5.894237965500712,4.0
13,com.itextpdf.text.pdf.parser.InlineImageInfo,3,1,0,1,4,0,3,3,-2.415911412381841,-1.4791985532704983,-2.514176215683606,-1.9533408458399288,5.0
